Layer,Name,GEOID,APR_2024,EJV_2024,EKW_2024,EVR_2018,HBS_2019-2023,HBU_2019-2023,HCP_2024,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023,INC_2019-2023,FAI_2020
Census tract,Tract 120,55087012000,79.65367965,7,6.88,0,2.615765288,13.78579003,2.93000007,84.19936373,1133,0,21.47651007,0.208280831,996,21.15572968,19.9,284900,92813,12
Census tract,Tract 121.01,55087012101,73.48484848,9,6.72,0.750662079,10.28391167,19.74763407,0,83.65930599,1243,35.90733591,54.05405405,0.190672375,1210,29.44228275,19.4,256000,101216,10.79866436
Census tract,Tract 121.02,55087012102,78.94736842,15,7.87,0.75,5.206564799,14.43123939,18.26000023,71.13752122,1037,1.960784314,12.74509804,0.121301072,954,30.91603053,23.9,204300,75586,10.8
Census tract,Tract 122,55087012200,77.89473684,47,11.42,1.88,15.85106383,32.9787234,0,43.72340426,971,22.11720227,47.25897921,0.293570521,932,63.91752577,21.1,150500,48710,17.5
Census tract,Tract 123,55087012300,67.39130435,12,7,0.649439351,8.227848101,16.20253165,0,85.94936709,790,9.90990991,25.22522523,0.137755376,1051,47.24409449,19.9,128200,63906,12.2
Census tract,Tract 124,55087012400,73.7804878,16,7,0.28,3.925925926,11.7037037,0,77.55555556,983,9.570957096,19.14191419,0.178845465,924,25.79281184,17.5,180800,80640,11.9
Census tract,Tract 125.03,55087012503,79.25925926,0,7.83,,3.171091445,9.8820059,0,97.19764012,2102,31.57894737,31.57894737,0.300739912,727,16.25514403,16.2,422600,166263,6.6
Census tract,Tract 125.04,55087012504,84.3373494,4,7.08,0.75,7.295597484,24.1509434,0,73.33333333,1322,8.018867925,24.52830189,0.148190109,1047,28.74493927,22.1,359400,103062,8.4
Census tract,Tract 125.05,55087012505,81.39534884,10,8.19,0.12,4.268032437,17.96841656,0,68.37387964,1276,7.692307692,26.18083671,0.281851385,1135,21.28174123,18.5,349800,98859,9.7
Census tract,Tract 125.06,55087012506,77.19298246,21,9.42,0.21,5.423280423,20.19400353,0,49.55908289,1172,5.594405594,26.83566434,0.28470738,1138,36.42943305,17.5,261300,77447,14.4
